TIME,EPS_POWER_FLAG,MAINBOARD_TEMPERATURE,MAINBOARD_VOLTAGE,MAINBOARD_CURRENT,BATTERY_PACK_TEMPERATURE,BATTERY_PACK_REPORTED_SOC,BATTERY_PACK_REPORTED_CAPACITY,BATTERY_PACK_CURRENT,BATTERY_PACK_VOLTAGE,BATTERY_PACK_MIDPOINT_VOLTAGE,BATTERY_PACK_TTE,BATTERY_PACK_TTF,XP_COIL_VOLTAGE,XP_COIL_CURRENT,XM_COIL_VOLTAGE,XM_COIL_CURRENT,YP_COIL_VOLTAGE,YP_COIL_CURRENT,YM_COIL_VOLTAGE,YM_COIL_CURRENT,ZP_COIL_VOLTAGE,ZP_COIL_CURRENT,ZM_COIL_VOLTAGE,ZM_COIL_CURRENT,JETSON_INPUT_VOLTAGE,JETSON_INPUT_CURRENT,RF_LDO_OUTPUT_VOLTAGE,RF_LDO_OUTPUT_CURRENT,GPS_VOLTAGE,GPS_CURRENT,XP_SOLAR_CHARGE_VOLTAGE,XP_SOLAR_CHARGE_CURRENT,XM_SOLAR_CHARGE_VOLTAGE,XM_SOLAR_CHARGE_CURRENT,YP_SOLAR_CHARGE_VOLTAGE,YP_SOLAR_CHARGE_CURRENT,YM_SOLAR_CHARGE_VOLTAGE,YM_SOLAR_CHARGE_CURRENT,ZP_SOLAR_CHARGE_VOLTAGE,ZP_SOLAR_CHARGE_CURRENT,ZM_SOLAR_CHARGE_VOLTAGE,ZM_SOLAR_CHARGE_CURRENT
946971884,1,2573,3313,36,2450,1,0,-102,7736,3868,14608,368634,0,0,0,0,0,0,0,0,167,0,0,0,0,0,5069,23,0,0,7713,15,7713,18,7713,20,7739,15,0,0,0,0
946971885,1,2620,3293,31,2450,1,0,-107,7740,3870,14866,368634,0,0,0,0,0,0,0,0,167,0,0,0,0,0,5069,23,0,0,7719,15,7706,18,7713,20,7739,15,0,0,0,0
946971886,1,2620,3293,33,2475,1,0,-107,7735,3867,14985,368634,0,0,0,0,0,0,0,0,167,0,0,0,0,0,5069,23,0,0,7706,15,7713,18,7713,18,7739,15,0,0,0,0
946971887,1,2526,3306,31,2451,1,0,-100,7728,3864,15221,368634,0,0,0,0,0,0,0,0,167,0,0,0,0,0,5069,23,0,0,7719,18,7713,18,7713,20,7745,15,0,0,0,0
946971889,1,2620,3293,31,2471,1,0,-105,7731,3865,13348,368634,0,0,0,0,0,0,0,0,167,0,0,0,0,0,5069,23,0,0,7713,15,7706,20,7713,20,7739,15,0,0,0,0
946971890,1,2620,3293,41,2461,1,0,-101,7735,3867,13539,368634,0,0,0,0,0,0,0,0,167,0,0,0,0,0,5075,23,0,0,7713,15,7713,18,7719,20,7745,15,0,0,0,0
946971891,1,2573,3300,36,2450,1,0,-100,7738,3869,13899,368634,0,0,0,0,0,0,0,0,167,0,0,0,0,0,5069,25,0,0,7713,15,7713,18,7713,20,7745,15,0,0,0,0
946971892,1,2573,3300,33,2467,1,0,-103,7735,3867,14090,368634,0,0,0,0,0,0,0,0,167,0,0,0,0,0,5069,23,0,0,7713,15,7706,18,7713,20,7745,15,0,0,0,0
946971893,1,2573,3300,28,2461,1,0,-102,7733,3867,14242,368634,0,0,0,0,0,0,0,0,167,0,0,0,0,0,5069,23,0,0,7719,15,7706,18,7713,20,7745,15,0,0,0,0
946971894,1,2620,3306,36,2466,1,0,-99,7735,3867,14551,368634,0,0,0,0,0,0,0,0,167,0,0,0,0,0,5069,23,0,0,7719,15,7713,18,7713,20,7739,15,0,0,0,0
946971895,1,2620,3300,25,2473,1,0,-103,7740,3870,14698,368634,0,0,0,0,0,0,0,0,167,0,0,0,0,0,5069,23,0,0,7713,15,7713,18,7706,20,7745,15,0,0,0,0
946971896,1,2620,3300,31,2457,1,0,-102,7731,3865,14945,368634,0,0,0,0,0,0,0,0,167,0,0,0,0,0,5069,25,0,0,7713,15,7706,18,7706,18,7745,15,0,0,0,0
946971897,1,2573,3300,43,2467,1,0,-98,7736,3868,15046,368634,0,0,0,0,0,0,0,0,167,0,0,0,0,0,5075,23,0,0,7719,15,7706,18,7719,20,7745,15,0,0,0,0
